headlines,terms,dates,scores
john travolta's white suit to star in v&a exhibition,white,2012-08-06,2
prototype of electric london black cab unveiled,black,2012-08-06,2
jonny brownlee: pressure is on but olympic triathlon is just a normal race,race,2012-08-06,2
chinese hurdler liu xiang finishes race despite injury,race,2012-08-07,2
"mystery bird: black-and-red broadbill, cymbirhynchus macrorhynchos story",black,2012-08-07,2
tackling youth unemployment: learning from home and abroad,unemployment,2012-08-07,2
wonga to sponsor itv's red or black?,black,2012-08-07,2
pubic hair has a job to do – stop shaving and leave it alone,job,2012-08-07,1
liu xiang pulls up in opening race at second consecutive olympics,race,2012-08-07,2
paris police veto seine swimming race,race,2012-08-08,2
latest polls show romney and obama locked in a tight race - us politics live,race,2012-08-08,3
an innovative solution to addressing youth unemployment,unemployment,2012-08-08,3
london 2012: team gb collapse in face of dutch demolition job,job,2012-08-09,1
it's ludicrous to claim that fw de klerk only cares for white south africans,white,2012-08-09,1
bradford city join the bidding race to save beleaguered bulls,race,2012-08-09,2
wine: can you cure a white-wine phobic?,white,2012-08-10,2
harry belafonte is right to lament the death of black celebrity activism,black,2012-08-10,2
bobby white: 'has the olympics been worth the effort? undoubtedly',white,2012-08-10,2
vengeance by john banville writing as benjamin black – review,black,2012-08-11,2
"james yorkston: 'i need a badge that says: it's all right, i do have a job'",job,2012-08-11,2
sarah stevenson: raising white flag at london 2012 was never an option,white,2012-08-11,2
ed mckeever talks through his gold medal-winning race - video,race,2012-08-11,3
anglers vs 'the black death':  cormorants have the edge in battle of the riverbanks,black,2012-08-11,1
tia sharp's body was found wrapped in black bedsheet in grandmother's loft,black,2012-08-13,3
"mystery bird: white-necked myna, streptocitta albicollis",white,2012-08-13,2
statement of faith: gloucester cathedral shows the black death didn't shake medieval britain's belief,black,2012-08-13,3
black heart blue by louisa reid - review,black,2012-08-13,2
sebastian coe for king: what job should he do next?,job,2012-08-14,2
disney sued for discrimination by former employee over muslim hijab,discrimination,2012-08-14,2
disney sued for discrimination by former employee over muslim hijab,unemployment,2012-08-14,2
"whitehall is in danger of reverting to white, male type",white,2012-08-14,2
"whitehall is in danger of reverting to white, male type",white,2012-08-14,2
police commissioner candidate reverses decision to quit race over minor offence,race,2012-08-14,2
scotland manager craig levein defends call-up of ian black,black,2012-08-14,2
"as it enters the sporting spotlight, brazil calls on the world to rethink race",race,2012-08-14,2
call of duty: black ops 2 – multiplayer hands-on preview,black,2012-08-14,1
black swan interns to sue twentieth century fox,black,2012-08-14,2
black cab makers almost out of gas but suitors circling united utilities,black,2012-08-14,2
uk unemployment falls due to temporary olympics jobs boost,unemployment,2012-08-15,1
uk unemployment falls due to temporary olympics jobs boost,job,2012-08-15,1
the joy of receiving a rejection letter for a journalistic job,job,2012-08-15,2
il palio horse race takes place in streets of siena - in pictures,race,2012-08-16,1
israeli academic accuses manchester nhs trust of discrimination,discrimination,2012-08-16,2
"big black delta (no 1,332)",black,2012-08-16,2
racing victoria in australia launch major race-fixing investigation,race,2012-08-16,2
a degree of job satisfaction,job,2012-08-16,2
the sioux campaign to buy back the black hills that belong to them,black,2012-08-16,2
clearing 2012: students find vocational degrees are just the job,job,2012-08-16,2
black rice pudding recipe,black,2012-08-16,2
the image of chivalry: the black prince's effigy reveals the medieval military ideal,black,2012-08-17,3
black fish activists vow to confront illegal tuna fishing in mediterranean,black,2012-08-18,2
there'll be blue-sky thinking over the white cliffs of dover,white,2012-08-19,2
joe biden accused by rick santorum of playing 'race card' after 'chains' remark,race,2012-08-19,2
i'm pregnant and my live-in boyfriend has no meaningful job and never has any money,job,2012-08-19,1
why the white cliffs of dover are so special,white,2012-08-19,3
"mystery bird: white-bellied sea-eagle, haliaeetus leucogaster",white,2012-08-19,2
sir henry cecil determined to be in york's grandstand for frankel race,race,2012-08-20,2
how can i move from a good graduate job into politics?,job,2012-08-20,2
a beginner's guide to... job searching,job,2012-08-20,2
edinburgh international book festival: val mcdermid and sue black on crime fiction v crime fact - video,black,2012-08-20,1
todd akin vows to ignore deadline to drop out of race despite gop pleas,race,2012-08-21,1
racism row over sf novel about black 'coals' and white 'pearls',black,2012-08-21,2
racism row over sf novel about black 'coals' and white 'pearls',white,2012-08-21,2
notes & queries: a new job for james bond?,job,2012-08-22,2
"luke white (no 1,336)",white,2012-08-22,2
eugene terre'blanche trial: black farmworker sentenced to life in prison for murder - video,black,2012-08-22,2
a beginners guide to... cvs and job applications,job,2012-08-22,2
graduate job seekers: tips you might not have thought about before,job,2012-08-22,1
mitt romney tells todd akin to quit missouri senate race,race,2012-08-22,2
haruki murakami leads race for nobel prize for literature,race,2012-08-23,2
can the social care white paper drive up quality?,white,2012-08-23,2
todd akin reaffirms decision to stay in missouri senate race,race,2012-08-24,3
black teenager 'stopped 50 times' plans to sue met police for harassment,black,2012-08-24,1
cctv footage shows black teenager being wrestled to the ground by police - video,black,2012-08-24,2
"the week in tv: the great british bake-off, red or black? and the last weekend - video",black,2012-08-24,2
itv boss unapologetic over wonga deal for red and black? gameshow,black,2012-08-24,2
"woman in black: hans holbein's christina of denmark, duchess of milan",black,2012-08-24,2
lonmin unveil new boss but will his first job be announcing a rights issue?,job,2012-08-24,2
serving black and minority ethnic gay people properly,black,2012-08-24,2
andré brink: 'there's a particular audacity involved in imagining yourself as a black woman',black,2012-08-25,2
the white goddess: an encounter by simon gough – review,white,2012-08-25,2
fiona maccarthy and padgett powell win james tait black prizes,black,2012-08-25,2
fatal attacks prompt call to lift ban on killing great white sharks,white,2012-08-25,3
neil armstrong's legacy went to waste but a new space race is on the cards,race,2012-08-26,1
lance armstrong competes in first race since decision not to fight doping charges - video,race,2012-08-26,1
federal reserve official urges central bank to act on us unemployment,unemployment,2012-08-27,2
revealing eden author needs some good black friends,black,2012-08-27,1
fulham join race for dimitar berbatov after losing moussa dembélé,race,2012-08-29,2
black republican activists strive to recruit african americans to gop cause,black,2012-08-29,2
learning and developing new job skills: live q&a,job,2012-08-29,3
fidelity promotes founder's granddaughter to top job,job,2012-08-29,3
motor racing: silverstone six hour race – in pictures,race,2012-08-29,2
reducing unemployment: creating jobs through social good,unemployment,2012-08-29,1
reducing unemployment: creating jobs through social good,job,2012-08-29,1
liberal democrats must back nick clegg and let him finish the job,job,2012-08-30,2
